,date,time,lightgbm,pvsim,actual
66,2023-06-23,15:00:00,0.20498471530767978,0.24280379785155193,0.0658897953153078
67,2023-06-23,16:00:00,0.04266090679829214,0.0807311712890594,0.006710635008909994
68,2023-06-23,18:00:00,0.006266699521267094,0.029913835327625635,0.005400726500879605
69,2023-06-23,19:00:00,0.0050896206444600725,0.004805545825789222,0.004495098825403741
70,2023-06-24,01:00:00,0.004827764162855134,0.0,0.0027139395167450923
71,2023-06-24,02:00:00,0.0047539636062423505,0.01089876345135132,0.0049933478239365114
72,2023-06-24,03:00:00,0.01089290664421677,0.046200825954518514,0.007003965338530782
73,2023-06-24,04:00:00,0.01570725439161111,0.07687210471559958,0.007534071185581777
74,2023-06-24,05:00:00,0.13436593212556536,0.09936422675072416,0.0620357954781875
75,2023-06-24,06:00:00,0.3037257330197122,0.1566524235535642,0.1776102918340259
76,2023-06-24,07:00:00,0.4987350893928233,0.35599011071620434,0.17327156557916062
77,2023-06-24,08:00:00,0.4922416918572836,0.5301310559908128,0.2018267218472617
78,2023-06-24,09:00:00,0.466138362783359,0.6779183671304159,0.06258719713340175
79,2023-06-24,10:00:00,0.5380378610090218,0.7625829767888326,0.32197732560339937
80,2023-06-24,11:00:00,0.5380378610090218,0.7836758093180998,0.6846849671829819
81,2023-06-24,12:00:00,0.5401756538738519,0.736981255022952,0.5590217164023934
82,2023-06-24,13:00:00,0.4633883361942339,0.6241446973801726,0.5196908827099976
83,2023-06-24,14:00:00,0.34707659048974376,0.4577144190000564,0.2841786683979157
84,2023-06-24,15:00:00,0.22681458097021587,0.2535788183722494,0.07923034885929467
85,2023-06-24,16:00:00,0.04674314290245412,0.08368693770358131,0.02676602276314778
86,2023-06-24,17:00:00,0.015895115363742357,0.06148995079590525,0.014896775892904142
87,2023-06-24,18:00:00,0.0077011136592604786,0.034416542407822714,0.005955687866055912
88,2023-06-24,19:00:00,0.005069584957416271,0.0053391659080232684,0.0034876628297846645
89,2023-06-25,18:00:00,0.007529773492795315,0.03031344335988443,0.00740549650453823
90,2023-06-25,19:00:00,0.0049793390983097615,0.0049843398635926895,0.0037966179881000206
91,2023-06-26,01:00:00,0.005063562741590081,0.0,0.0032296842150231226
92,2023-06-26,06:00:00,0.31231209758988815,0.15523793059268004,0.20487065855787448
93,2023-06-26,07:00:00,0.3896186315242519,0.3354382099268475,0.6089982194964548
94,2023-06-26,15:00:00,0.2722679986221849,0.22863511264144884,0.1362516266114058
95,2023-06-26,17:00:00,0.0158781822494744,0.059275426385068344,0.04041421823070277
96,2023-06-26,18:00:00,0.007586135204634657,0.03279665846032489,0.00903812600652734
97,2023-06-26,19:00:00,0.0049891945304077895,0.0047082982624469544,0.0035291755095616714
98,2023-06-28,15:00:00,0.2580568269349748,0.24306590457189445,0.13645588424678282
99,2023-06-29,01:00:00,0.004772102235862884,0.0,0.002552626284603941
100,2023-06-29,02:00:00,0.004808616507923956,0.008668826390799536,0.004816342881485412
101,2023-06-29,09:00:00,0.5869925756079942,0.6449853340465572,0.7601651200645021
102,2023-06-29,10:00:00,0.607413968867643,0.7347244956605082,0.44207897831921705
103,2023-06-29,11:00:00,0.6093583536261288,0.7479971182892221,0.7825246227659866
104,2023-06-29,13:00:00,0.47329726153788415,0.5999988961357431,0.4768917766032516
105,2023-06-29,14:00:00,0.35292666479118534,0.44377636256471903,0.27715446445031733
