date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,is_day,shortwave_radiation,shortwave_radiation_instant,direct_radiation,direct_radiation_instant,diffuse_radiation,diffuse_radiation_instant,direct_normal_irradiance,direct_normal_irradiance_instant,terrestrial_radiation,terrestrial_radiation_instant,uv_index_clear_sky,uv_index,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,visibility,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2023-06-01,11:00:00,851.9740522584306,195.45499098661955,38.04426392957509,51.95573607042491,12.68038702562938,1,813.0,807.3,619.6,615.3,193.4,192.0,781.2,781.2,1055.3,1047.9,5.9,5.9,12.8,-0.8,39,1008.8,21.6,280,15,48,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,31995.6,1580.1585623027515,1603.0079316983083,1603.0079316983083,1603.0079316983083,1603.0079316983083
2023-06-01,16:00:00,98.4190523229271,277.68437120021207,68.71496272105156,21.28503727894844,17.679855780571884,1,371.0,317.8,231.3,198.2,139.7,119.7,545.7,545.7,564.0,483.2,2.2,2.15,11.4,-2.8,37,1009.9,20.5,294,11,44,40,18,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,11099.2,151.26396356911275,167.77122915116323,167.77122915116323,167.77122915116323,167.77122915116323
2023-06-01,17:00:00,50.35898809397544,290.0361586774976,76.1088868323297,13.891113167670296,18.679748961165973,1,257.0,204.7,142.7,113.7,114.3,91.0,473.1,473.1,401.3,319.6,1.25,1.25,10.7,-3.8,36,1009.9,17.3,300,14,37,0,1,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,7163.1,105.5036291557916,51.65959029359824,51.65959029359824,51.65959029359824,51.65959029359824
2023-06-01,18:00:00,30.79742565767189,302.3444624408433,82.94359210772332,7.056407892276675,19.67964195240466,1,143.0,97.3,63.7,43.3,79.3,53.9,352.2,352.2,240.6,163.7,0.6,0.6,10.3,-5.3,33,1010.3,15.8,307,0,24,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,3290.8,51.56402155659914,26.30206751529572,26.30206751529572,26.30206751529572,26.30206751529572
2023-06-02,01:00:00,19.427979291125,36.73387260328781,92.06896891483396,-2.06896891483396,2.6788876181303998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,-3.5,59,1010.4,9.0,277,0,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,17.01336966519,17.01336966519,17.01336966519,17.01336966519
2023-06-02,02:00:00,21.284276722685966,49.60725887149905,86.84651236059031,3.1534876394096854,3.6787791065867945,1,8.0,22.8,0.6,1.9,7.4,21.0,10.2,21.3,25.6,73.1,0.05,0.05,3.8,-3.5,59,1010.8,12.2,290,17,2,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,186.2,10.79598546985162,20.870822211819075,20.870822211819075,20.870822211819075,20.870822211819075
2023-06-02,04:00:00,25.683829987958863,74.32948577383833,73.45309415789367,16.54690584210632,5.678561524845005,1,177.0,225.0,84.0,106.7,93.0,118.2,374.9,374.9,298.0,378.7,0.8,0.8,7.5,-0.5,57,1011.3,15.8,307,1,29,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,7575.7,144.66051516433512,25.046422178699903,25.046422178699903,25.046422178699903,25.046422178699903
2023-06-02,05:00:00,59.77561008805796,86.79129682070085,65.93150907117257,24.06849092882744,6.67845245532341,1,312.0,367.3,188.5,221.9,123.5,145.3,544.3,544.3,460.7,542.4,1.55,1.55,8.0,-0.5,55,1011.2,17.3,305,4,42,36,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,12870.2,186.5449897448718,35.94352749677331,35.94352749677331,35.94352749677331,35.94352749677331
2023-06-03,05:00:00,242.48097832137427,86.68045281268081,65.84509033443928,24.154909665560726,6.675779983622446,1,301.0,354.1,176.5,207.6,124.5,146.5,507.4,507.4,462.5,544.1,1.55,1.55,8.9,0.8,57,1015.4,13.3,316,9,30,8,9,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,14532.0,186.99440761995828,59.77561008805796,59.77561008805796,59.77561008805796,59.77561008805796
2023-06-03,06:00:00,695.4187890585349,99.83551390693871,58.23324292983485,31.766757070165152,7.675666384659165,1,448.0,503.3,306.7,344.5,141.3,158.8,654.5,654.5,623.1,700.0,2.5,2.5,9.7,0.1,51,1015.4,13.3,320,5,30,39,17,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,24115.0,352.0210761825645,58.77485830121709,58.77485830121709,58.77485830121709,58.77485830121709
2023-06-03,15:00:00,307.6387647093409,264.9212311182546,60.84644903763728,29.15355096236272,16.67463608786999,1,496.0,445.0,337.2,302.6,158.8,142.5,620.8,620.8,722.2,648.0,3.2,3.05,13.9,0.8,41,1015.3,20.5,261,7,0,78,3,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,30260.000000000004,460.0555936478253,26.13066510839275,26.13066510839275,26.13066510839275,26.13066510839275
2023-06-05,04:00:00,28.452949484834647,74.02587527807185,73.20480232558897,16.795197674411025,5.670255723255552,1,168.0,212.5,74.3,94.0,93.7,118.5,325.4,325.4,303.5,384.0,0.85,0.85,9.2,5.4,77,1016.2,10.8,239,5,39,84,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,5734.0,144.64935453741484,24.186627873037363,24.186627873037363,24.186627873037363,24.186627873037363
2023-06-05,05:00:00,232.9889475146861,86.46643894163452,65.69093986057302,24.309060139426983,6.670134213534838,1,296.0,347.7,170.3,200.0,125.7,147.7,486.0,486.0,465.7,547.0,1.6,1.55,11.4,5.3,66,1016.0,13.0,248,16,43,57,6,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,11400.0,185.9415918382918,61.42191751757255,61.42191751757255,61.42191751757255,61.42191751757255
2023-06-05,08:00:00,1931.532919377258,130.78525074991944,44.34015087207767,45.65984912792233,9.669768729276258,1,639.0,676.3,456.5,483.1,182.5,193.2,675.5,675.5,898.0,950.5,4.65,4.6,15.4,5.9,53,1016.2,17.6,263,8,8,0,14,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,44445.2,1029.129249381827,1634.4466203520117,1634.4466203520117,1634.4466203520117,1634.4466203520117
2023-06-05,09:00:00,1036.0828535758667,150.27756403855506,39.480102004624776,50.51989799537522,10.669646584087124,1,741.0,766.8,552.4,571.6,188.6,195.2,740.5,740.5,991.3,1025.8,5.4,5.35,16.2,4.9,47,1016.2,19.8,270,0,0,0,39,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,57160.0,1327.3169264148264,1051.9581599151377,1051.9581599151377,1051.9581599151377,1051.9581599151377
2023-06-05,10:00:00,2230.7464097066804,172.38360252142556,37.02534864838934,52.97465135161066,11.669524280978749,1,799.0,809.8,603.8,611.9,195.2,197.9,766.4,766.4,1046.9,1061.1,5.9,5.7,16.8,4.5,44,1016.2,21.2,268,0,0,0,4,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,61190.0,1495.8699546709763,1011.0596231566352,1011.0596231566352,1011.0596231566352,1011.0596231566352
2023-06-05,11:00:00,2148.18108375336,195.3260029715434,37.53571928957946,52.46428071042054,12.669401820331272,1,812.0,806.5,614.0,609.9,198.0,196.7,769.0,769.0,1061.1,1053.9,6.05,6.0,17.6,4.8,43,1016.4,22.0,262,1,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,60990.0,1517.885235060863,1776.6983592767958,1776.6983592767958,1776.6983592767958,1776.6983592767958
2023-06-05,12:00:00,1831.830161393671,216.6699211435268,40.88428897344182,49.11571102655818,13.669279202525304,1,786.0,764.7,593.3,577.3,192.7,187.4,763.5,763.5,1032.8,1004.8,5.8,5.8,17.7,5.0,43,1016.3,21.6,258,2,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,57729.99999999999,1411.05647660808,767.4031938989468,767.4031938989468,767.4031938989468,767.4031938989468
2023-06-05,13:00:00,1397.9754806056487,235.172342430133,46.364329468469606,43.6356705315304,14.669156427941935,1,720.0,685.0,537.1,511.0,182.9,174.0,740.4,740.4,964.0,917.2,5.2,5.2,18.3,5.5,43,1016.3,21.2,262,19,0,0,13,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,51100.0,1172.4742281195126,181.2367148383828,181.2367148383828,181.2367148383828,181.2367148383828
2023-06-05,15:00:00,208.4379567835992,264.99020887008294,60.61011143210972,29.389888567890285,16.668910409969826,1,519.0,466.1,365.1,327.9,153.9,138.3,667.9,667.9,726.3,652.3,3.3,3.3,17.4,4.4,42,1015.8,21.6,259,0,0,20,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,32790.0,465.0655722310747,30.204674811758117,30.204674811758117,30.204674811758117,30.204674811758117
2023-06-05,16:00:00,76.20114626397941,277.8309592954208,68.22372018944098,21.776279810559014,17.668787167345705,1,390.0,335.3,250.9,215.7,139.1,119.6,581.3,581.3,573.6,493.2,2.25,2.25,16.7,6.8,52,1015.9,19.4,264,0,0,50,25,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,21570.0,147.42340391901675,27.221933435326108,27.221933435326108,27.221933435326108,27.221933435326108
2023-06-05,17:00:00,48.6352910932185,290.1589098947132,75.6141546977325,14.385845302267494,18.668663769472907,1,259.0,207.8,142.6,114.4,116.4,93.4,460.3,460.3,411.6,330.3,1.35,1.3,15.8,7.3,57,1015.9,17.3,254,4,0,45,22,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,11440.0,105.6171311055793,23.77067890431041,23.77067890431041,23.77067890431041,23.77067890431041
2023-06-05,18:00:00,28.893588883611223,302.4337334293241,82.4434862018162,7.556513798183804,19.66854021673647,1,138.0,95.9,57.2,39.8,80.8,56.2,302.0,302.0,251.6,174.9,0.65,0.6,14.9,7.2,60,1015.7,16.9,252,14,7,52,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,3701.4,53.82165067504969,20.947844504663237,20.947844504663237,20.947844504663237,20.947844504663237
2023-06-06,12:00:00,954.4131611666796,216.6636648695693,40.770324761884666,49.22967523811533,13.66629022657168,1,749.0,728.8,538.4,523.9,210.6,204.9,691.7,691.7,1034.1,1006.2,5.75,5.55,20.0,10.7,55,1015.5,10.1,351,14,25,55,50,11980.0,13,0.0,0.0,0.0,0.0,0.0,0,39292.5,1278.1788571820175,1831.830161393671,1831.830161393671,1831.830161393671,1831.830161393671
2023-06-06,14:00:00,332.4398302733373,251.04982430826925,53.04793303790965,36.95206696209035,15.666037236144197,1,608.0,563.9,430.7,399.5,177.3,164.4,664.4,664.4,861.2,798.7,4.35,2.65,21.8,12.3,55,1014.9,10.8,310,5,8,7,5,24140.0,11,0.0,0.0,0.0,0.0,0.0,0,36754.0,787.8126077321115,718.6976296235065,718.6976296235065,718.6976296235065,718.6976296235065
2023-06-06,15:00:00,179.1759180178997,265.0168736316176,60.49919355924469,29.500806440755312,16.665910520681784,1,502.0,451.1,342.6,307.9,159.4,143.2,625.1,625.1,728.2,654.3,3.3,3.0,20.9,11.5,55,1014.5,8.6,278,4,13,53,61,24140.0,10,0.0,0.0,0.0,0.0,0.0,0,26787.3,437.0850380181407,208.4379567835992,208.4379567835992,208.4379567835992,208.4379567835992
2023-06-07,02:00:00,21.67436535487303,49.18520790002266,86.40451718369464,3.5954828163053665,3.6645070821426753,1,11.0,30.2,1.4,3.9,9.6,26.3,20.8,44.4,30.3,83.3,0.05,0.05,9.0,3.2,67,1016.5,7.6,329,17,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,390.0,16.892197721489225,22.106006030076067,22.106006030076067,22.106006030076067,22.106006030076067
2023-06-07,03:00:00,24.73878280410816,61.59941023687342,80.12635788536275,9.873642114637256,4.664378637109001,1,78.0,115.4,25.6,37.8,52.4,77.6,211.2,220.7,153.9,227.7,0.3,0.3,9.6,3.3,65,1016.6,9.0,334,2,0,0,3,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,3780.0,86.64074363310861,25.69697018738029,25.69697018738029,25.69697018738029,25.69697018738029
2023-06-07,04:00:00,25.43091854059902,73.83572107503169,73.07052984209751,16.929470157902482,5.664250050528305,1,181.0,228.4,86.0,108.5,95.0,119.9,372.7,372.7,306.5,386.8,0.85,0.85,10.7,3.3,60,1017.2,9.4,334,0,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,10850.0,144.0853684451753,28.43758718764931,28.43758718764931,28.43758718764931,28.43758718764931
